baseline,metric,n_pairs,mean_delta,median_delta,ci_low,ci_high,wilcoxon_p,positive_ratio,holm_p
CE-Proto,auc,54,0.06379547027032167,0.06141944444444444,0.034182849256235874,0.09399868034882039,7.339428939885823e-05,0.7407407407407407,0.0008073371833874405
CE-Proto,pd_at_pfa_0.05,54,0.03523646221504771,0.008067484662576655,-0.0005976931069799129,0.07640377972249077,0.3065327865770704,0.5185185185185185,1.0
CE-Proto,pd_at_pfa_0.01,54,0.026274571515519336,0.0,-0.002500384893743558,0.06127220864057244,0.304609450740004,0.46296296296296297,1.0
CE-Proto,f1,54,0.021986917016244053,0.002993265617442373,-0.013658433863823911,0.05792483622399541,0.3116812215658562,0.5185185185185185,1.0
CosMetricHead,auc,54,-0.009519682871321732,0.0067777777777776604,-0.03828678160425962,0.016185740489456247,0.8463873746809489,0.5370370370370371,1.0
CosMetricHead,pd_at_pfa_0.05,54,0.011956369945144239,0.0,-0.010451294617631543,0.03859457944397982,0.7707256339532554,0.48148148148148145,1.0
CosMetricHead,pd_at_pfa_0.01,54,0.007677526732659,-0.006666666666666699,-0.010834124530274646,0.029925674505573728,0.38134167057261315,0.3888888888888889,1.0
CosMetricHead,f1,54,-0.014791526468218238,-0.01619255411998083,-0.0435254115024124,0.0143911752386212,0.2876178536082771,0.4444444444444444,1.0
CE-LinearHead,auc,54,0.03787906606038974,0.029544444444444484,0.02251631250923695,0.05475992867677802,4.913206309586091e-05,0.7407407407407407,0.0005895847571503309
CE-LinearHead,pd_at_pfa_0.05,54,0.015342245586258496,0.004999999999999949,0.000907891865993542,0.030296894594125975,0.027716639705869177,0.5370370370370371,0.2771663970586918
CE-LinearHead,pd_at_pfa_0.01,54,0.008036516855138709,0.0,-0.004355636781781669,0.02411286241894671,0.4874239178812042,0.46296296296296297,1.0
CE-LinearHead,f1,54,-0.00582706830848662,0.0032313236821207877,-0.03741759820735119,0.026541361482461015,0.9965650306082071,0.5185185185185185,1.0
