baseline,metric,n_pairs,mean_delta,median_delta,positive_ratio
CE-Proto,auc,54,0.06379547027032165,0.06141944444444444,0.7407407407407407
CE-Proto,pd_at_pfa_0.05,54,0.03523646221504772,0.008067484662576691,0.5185185185185185
CE-Proto,pd_at_pfa_0.01,54,0.026274571515519346,0.0,0.46296296296296297
CE-Proto,f1,54,0.021986917016244063,0.002993265617442408,0.5185185185185185
CosMetricHead,auc,54,-0.009519682871321737,0.0067777777777776604,0.5370370370370371
CosMetricHead,pd_at_pfa_0.05,54,0.01195636994514424,0.0,0.48148148148148145
CosMetricHead,pd_at_pfa_0.01,54,0.007677526732659001,-0.006666666666666667,0.3888888888888889
CosMetricHead,f1,54,-0.014791526468218229,-0.01619255411998083,0.4444444444444444
CE-LinearHead,auc,54,0.03787906606038974,0.029544444444444484,0.7407407407407407
CE-LinearHead,pd_at_pfa_0.05,54,0.015342245586258497,0.005,0.5370370370370371
CE-LinearHead,pd_at_pfa_0.01,54,0.008036516855138705,0.0,0.46296296296296297
CE-LinearHead,f1,54,-0.0058270683084866125,0.003231323682120823,0.5185185185185185
