task,k_shot,method,acc_mean,acc_std,acc_count,f1_mean,f1_std,f1_count,auc_mean,auc_std,auc_count,pd_at_pfa_0.05_mean,pd_at_pfa_0.05_std,pd_at_pfa_0.05_count,pd_at_pfa_0.01_mean,pd_at_pfa_0.01_std,pd_at_pfa_0.01_count,pd_tc_mean,pd_tc_std,pd_tc_count,pfa_tc_mean,pfa_tc_std,pfa_tc_count
open+speedboat->uuv,5,CE-LinearHead,0.5940740740740741,0.1275166413734321,9,0.5527572991626597,0.11897404075512268,9,0.5970753086419752,0.14724057493341142,9,0.2037037037037037,0.10354071185937287,9,0.10629629629629628,0.09507956382309568,9,,,0,,,0
open+speedboat->uuv,5,CE-Proto,0.5896296296296296,0.14388164932452535,9,0.5790318104008424,0.14540851429577176,9,0.6144506172839507,0.2015190647562148,9,0.12407407407407407,0.10905882431281673,9,0.04703703703703703,0.09173398201751695,9,,,0,,,0
open+speedboat->uuv,5,CosMetricHead,0.6068518518518519,0.0930965912836876,9,0.5812672504068075,0.10589353360345877,9,0.6653012345679012,0.14617521296063773,9,0.167037037037037,0.12953382703247446,9,0.09740740740740741,0.10692387969664548,9,,,0,,,0
open+speedboat->uuv,5,RegMahaProxy-TC,0.5861111111111111,0.10862780491200216,9,0.5937705560427913,0.09870192876534699,9,0.6061592592592593,0.1414194313224161,9,0.20777777777777776,0.08561866359360881,9,0.11444444444444447,0.08967534034876405,9,0.6129629629629629,0.14326010187809954,9,0.44074074074074077,0.20894428934379305,9
open+speedboat->uuv,10,CE-LinearHead,0.6451925353442776,0.1281046655571792,9,0.5163923762728051,0.23539135411314177,9,0.630278177966967,0.24240123898939858,9,0.22534232964517498,0.15141899232958048,9,0.09425064016434415,0.13690790452791649,9,,,0,,,0
open+speedboat->uuv,10,CE-Proto,0.5403137320196736,0.17515975499817826,9,0.446958840202753,0.25639824635553166,9,0.5776178166383044,0.26464359369937734,9,0.17270587878905655,0.17873686975221195,9,0.05892146842390717,0.0899663550573995,9,,,0,,,0
open+speedboat->uuv,10,CosMetricHead,0.67154012460552,0.13884547666969219,9,0.5411104226446919,0.2535910919509628,9,0.7360126940351351,0.13980136405370178,9,0.22248625494854293,0.15717358218339142,9,0.10655827949852387,0.12643159790366051,9,,,0,,,0
open+speedboat->uuv,10,RegMahaProxy-TC,0.6569010671990796,0.12347312536078586,9,0.5641261397309395,0.22439107424057853,9,0.6949808724370194,0.21173429527548487,9,0.24693984214984083,0.1610479509522615,9,0.12065057353537455,0.16207256621150873,9,0.6354005924369642,0.2692286360719939,9,0.3274074074074074,0.06441570240282554,9
open+speedboat->uuv,20,CE-LinearHead,0.7184999774132221,0.10616135602081382,9,0.5095405563101679,0.27782393065427413,9,0.6708137467807249,0.23784353046196852,9,0.3044145951038648,0.3253858146921081,9,0.17896677763975977,0.28776091052189295,9,,,0,,,0
open+speedboat->uuv,20,CE-Proto,0.6183148819493932,0.13980485627407935,9,0.5255866767927531,0.2060961850199223,9,0.6801596334670799,0.22994709063282842,9,0.26435241285391453,0.3317952393781084,9,0.14931206586235735,0.22523288161787847,9,,,0,,,0
open+speedboat->uuv,20,CosMetricHead,0.7606764458284369,0.1011357788727293,9,0.5419982765041694,0.24635518948972543,9,0.7898754280065293,0.10544503926970092,9,0.2953637014249602,0.2990840030148993,9,0.15807233829971745,0.29233573060815476,9,,,0,,,0
open+speedboat->uuv,20,RegMahaProxy-TC,0.721507371265528,0.12749815086292446,9,0.5216345920544463,0.24097745166168646,9,0.7350360659569615,0.20584972443477462,9,0.31561129685749073,0.32368807126692806,9,0.18004520465882082,0.27192562069589155,9,0.5347913427180445,0.3149499948635852,9,0.1877777777777778,0.08115485882626568,9
open+uuv->speedboat,5,CE-LinearHead,0.5261111111111111,0.05494315243958977,9,0.533606507373989,0.07963772349610754,9,0.5331851851851853,0.07132327053460948,9,0.03925925925925926,0.033031036658210555,9,0.01037037037037037,0.012521586299538494,9,,,0,,,0
open+uuv->speedboat,5,CE-Proto,0.5018518518518519,0.024216105241892615,9,0.49197364228669244,0.06170789801169901,9,0.5088493827160494,0.03972524079871357,9,0.06740740740740742,0.03665824819183027,9,0.017037037037037035,0.011479987955428792,9,,,0,,,0
open+uuv->speedboat,5,CosMetricHead,0.5220370370370371,0.050137157557057756,9,0.5479082253246668,0.07804433843627323,9,0.5293,0.05200899198132551,9,0.06185185185185185,0.01915659961062963,9,0.02,0.01563471919941143,9,,,0,,,0
open+uuv->speedboat,5,RegMahaProxy-TC,0.5438888888888889,0.03278719262151001,9,0.6260540314473757,0.056653653446200984,9,0.5622518518518519,0.07269644607272727,9,0.05148148148148148,0.03586669420348661,9,0.012962962962962963,0.010985399962936215,9,0.7777777777777778,0.1358716714812588,9,0.69,0.11663094691280602,9
open+uuv->speedboat,10,CE-LinearHead,0.5455555555555556,0.049124275510631636,9,0.5430725301462963,0.08704201287362044,9,0.5509987654320988,0.07258440817430226,9,0.055925925925925934,0.055447116390750055,9,0.020370370370370372,0.030342692898714167,9,,,0,,,0
open+uuv->speedboat,10,CE-Proto,0.5042592592592592,0.02939329939599697,9,0.4983807622489304,0.055849560050159265,9,0.5100833333333333,0.03642198177162849,9,0.0737037037037037,0.02485761924577455,9,0.028518518518518516,0.019798366312450515,9,,,0,,,0
open+uuv->speedboat,10,CosMetricHead,0.5301851851851852,0.05795379172503419,9,0.5060783277554912,0.09978440551002347,9,0.5484395061728395,0.07922608045597744,9,0.0762962962962963,0.042046417618721105,9,0.02148148148148148,0.014917468424552839,9,,,0,,,0
open+uuv->speedboat,10,RegMahaProxy-TC,0.5346296296296296,0.06349637882160516,9,0.4662952793227293,0.11088947386257689,9,0.5682851851851852,0.08193629055477519,9,0.060740740740740734,0.04627147482754413,9,0.014074074074074072,0.013721210039142742,9,0.4244444444444444,0.1408801697266944,9,0.3551851851851852,0.13922514850165774,9
open+uuv->speedboat,20,CE-LinearHead,0.5738888888888888,0.04174991683291783,9,0.5823935158874683,0.07019477332100377,9,0.5881259259259259,0.03806380932390914,9,0.06481481481481483,0.035320402945005186,9,0.019629629629629625,0.020645449084513386,9,,,0,,,0
open+uuv->speedboat,20,CE-Proto,0.5231481481481483,0.029420850085493538,9,0.5289471412730312,0.054721896771554666,9,0.5238179012345678,0.04132535660576885,9,0.07185185185185186,0.016082349806811256,9,0.01962962962962963,0.007157832625958402,9,,,0,,,0
open+uuv->speedboat,20,CosMetricHead,0.5620370370370371,0.06374198085607936,9,0.5731870314759493,0.09236648690682606,9,0.5859407407407408,0.07047414704155394,9,0.09074074074074073,0.03718489006818114,9,0.028518518518518523,0.02108916988455812,9,,,0,,,0
open+uuv->speedboat,20,RegMahaProxy-TC,0.5685185185185185,0.027530846896966252,9,0.4309197767041846,0.06805763034866515,9,0.6310382716049383,0.04123320724819456,9,0.10296296296296298,0.060241284395993855,9,0.03592592592592593,0.02644584496758201,9,0.3337037037037037,0.0848273482571846,9,0.19666666666666668,0.07299162813486063,9
