method,baseline,n,acc_delta_mean,acc_delta_positive_ratio,f1_delta_mean,f1_delta_positive_ratio,auc_delta_mean,auc_delta_positive_ratio,pd_at_pfa_0.05_delta_mean,pd_at_pfa_0.05_delta_positive_ratio,pd_at_pfa_0.01_delta_mean,pd_at_pfa_0.01_delta_positive_ratio,pd_tc_delta_mean,pd_tc_delta_positive_ratio,pfa_tc_delta_mean,pfa_tc_delta_positive_ratio,threshold_tc_delta_mean,threshold_tc_delta_positive_ratio,judgement
CE-LinearHead,CE-Proto,240,0.0917875,0.9166666666666666,0.07639293083975479,0.8458333333333333,0.09392194999999998,0.875,0.09333333333333332,0.7916666666666666,0.04269166666666666,0.6708333333333333,,,,,,,supported
CalibCosMetricHead,CE-Proto,240,0.09853333333333333,0.9208333333333333,0.09179132657100535,0.9083333333333333,0.10301398333333331,0.9041666666666667,0.06659166666666666,0.7541666666666667,0.017925,0.5958333333333333,,,,,,,supported
CalibCosMetricHead-TC,CE-Proto,240,0.07757083333333332,0.8625,0.06888323889397915,0.7916666666666666,0.10301398333333331,0.9041666666666667,0.06659166666666666,0.7541666666666667,0.017925,0.5958333333333333,,,,,,,supported
CalibCosMetricHead-Tail,CE-Proto,240,0.08957083333333334,0.9291666666666667,0.08371841040591649,0.8708333333333333,0.09692941666666667,0.8875,0.06810833333333334,0.7458333333333333,0.023758333333333333,0.6166666666666667,,,,,,,supported
CalibCosMetricHead-Tail-TC,CE-Proto,240,0.07603749999999998,0.8916666666666667,0.058989301084913515,0.75,0.09692941666666667,0.8875,0.06810833333333334,0.7458333333333333,0.023758333333333333,0.6166666666666667,,,,,,,supported
CosMetricHead,CE-Proto,240,0.07719166666666664,0.9166666666666666,0.06571687391214963,0.85,0.09425718333333334,0.9125,0.07790833333333333,0.7958333333333333,0.03110833333333333,0.65,,,,,,,supported
CosMetricHead-TC,CE-Proto,240,0.07144166666666667,0.8875,0.026767943659271563,0.6291666666666667,0.09425718333333334,0.9125,0.07790833333333333,0.7958333333333333,0.03110833333333333,0.65,,,,,,,supported
CosMetricHead-Tail,CE-Proto,240,0.07118749999999999,0.9041666666666667,0.06080955105452803,0.8208333333333333,0.09158833333333333,0.9083333333333333,0.07919166666666667,0.7958333333333333,0.03444166666666667,0.65,,,,,,,supported
CosMetricHead-Tail-TC,CE-Proto,240,0.07343749999999999,0.875,0.03774362182922584,0.6708333333333333,0.09158833333333333,0.9083333333333333,0.07919166666666667,0.7958333333333333,0.03444166666666667,0.65,,,,,,,supported
LinEqProxy,CE-Proto,240,0.09101250000000001,0.9208333333333333,0.07575685209281247,0.8583333333333333,0.09357214999999999,0.8791666666666667,0.09313333333333333,0.7958333333333333,0.04231666666666667,0.675,,,,,,,supported
LinEqProxy-TC,CE-Proto,240,0.06998333333333333,0.8583333333333333,0.024490051698886205,0.6208333333333333,0.09357214999999999,0.8791666666666667,0.09313333333333333,0.7958333333333333,0.04231666666666667,0.675,,,,,,,supported
LinEqProxy-Tail,CE-Proto,240,0.09535,0.9125,0.07886121986485213,0.8583333333333333,0.09986921666666666,0.8666666666666667,0.10566666666666666,0.8083333333333333,0.04759166666666667,0.7083333333333334,,,,,,,supported
LinEqProxy-Tail-TC,CE-Proto,240,0.08211666666666666,0.8583333333333333,0.07088831468173323,0.8125,0.09986921666666666,0.8666666666666667,0.10566666666666666,0.8083333333333333,0.04759166666666667,0.7083333333333334,,,,,,,supported
NormAwareCalibCosMetricHead,CE-Proto,240,0.0979375,0.925,0.09061549605397015,0.8958333333333334,0.10223671666666669,0.9,0.06286666666666667,0.7416666666666667,0.012333333333333332,0.5916666666666667,,,,,,,supported
NormAwareCalibCosMetricHead-TC,CE-Proto,240,0.07665416666666666,0.8625,0.06716372887556002,0.7958333333333333,0.10223671666666669,0.9,0.06286666666666667,0.7416666666666667,0.012333333333333332,0.5916666666666667,,,,,,,supported
NormAwareCalibCosMetricHead-Tail,CE-Proto,240,0.09138333333333332,0.9333333333333333,0.08478489792116232,0.8791666666666667,0.09788123333333333,0.8875,0.06483333333333334,0.7333333333333333,0.02005,0.6208333333333333,,,,,,,supported
NormAwareCalibCosMetricHead-Tail-TC,CE-Proto,240,0.07636666666666665,0.8833333333333333,0.05871027460695113,0.7458333333333333,0.09788123333333333,0.8875,0.06483333333333334,0.7333333333333333,0.02005,0.6208333333333333,,,,,,,supported
RegMahaProxy,CE-Proto,240,0.09422499999999999,0.9208333333333333,0.08076232779436897,0.8208333333333333,0.1065748,0.8583333333333333,0.11982500000000001,0.8125,0.054075000000000005,0.7208333333333333,,,,,,,supported
RegMahaProxy-TC,CE-Proto,240,0.07830833333333333,0.85,0.09539599388258875,0.85,0.1065748,0.8583333333333333,0.11982500000000001,0.8125,0.054075000000000005,0.7208333333333333,,,,,,,supported
RegMahaProxy-Tail,CE-Proto,240,0.08590833333333332,0.9,0.08106563241895974,0.825,0.10297079999999999,0.8583333333333333,0.11517500000000001,0.8,0.054549999999999994,0.7041666666666667,,,,,,,supported
RegMahaProxy-Tail-TC,CE-Proto,240,0.07661666666666665,0.8416666666666667,0.0900689013777518,0.8708333333333333,0.10297079999999999,0.8583333333333333,0.11517500000000001,0.8,0.054549999999999994,0.7041666666666667,,,,,,,supported
