baseline,final_method,metric,n_pairs,mean_delta,median_delta,ci95_low,ci95_high,positive_ratio,wilcoxon_p,holm_p
CE-Proto,RegMahaProxy-TC,auc,240,0.11866556666666665,0.11530699999999999,0.10718490458333332,0.13046212270833332,0.8791666666666667,8.928161053209694e-36,1.0713793263851633e-34
CE-Proto,RegMahaProxy-TC,pd_at_pfa_0.05,240,0.14990833333333334,0.11000000000000001,0.130265,0.170266875,0.8708333333333333,2.9335268958342307e-31,3.226879585417654e-30
CE-Proto,RegMahaProxy-TC,pd_at_pfa_0.01,240,0.08582500000000001,0.04000000000000001,0.070023125,0.10197562499999999,0.8041666666666667,1.0017348479285997e-23,1.0017348479285997e-22
CE-Proto,RegMahaProxy-TC,f1,240,0.08589883621167585,0.09373040080696551,0.07234007704117261,0.09923513931555435,0.7916666666666666,3.6888868462962557e-23,3.31999816166663e-22
CosMetricHead,RegMahaProxy-TC,auc,240,0.023069116666666667,0.024643999999999944,0.018325926666666666,0.02787695874999999,0.7625,3.278208545360233e-18,2.6225668362881863e-17
CosMetricHead,RegMahaProxy-TC,pd_at_pfa_0.05,240,0.041091666666666665,0.038999999999999986,0.028958124999999998,0.052825416666666666,0.7,4.158231717847148e-13,2.4949390307082887e-12
CosMetricHead,RegMahaProxy-TC,pd_at_pfa_0.01,240,0.03285833333333334,0.015999999999999993,0.021666458333333336,0.04450041666666666,0.6541666666666667,3.4759200318036848e-09,1.7379600159018424e-08
CosMetricHead,RegMahaProxy-TC,f1,240,0.016578863767091504,0.022825441815200687,0.0066556411359828226,0.026668093621980853,0.6541666666666667,1.484594195263148e-05,4.453782585789444e-05
CE-LinearHead,RegMahaProxy-TC,auc,240,0.02178242499999999,0.01872400000000002,0.016792210208333328,0.026897466874999994,0.725,7.118559716029865e-15,4.982991801220905e-14
CE-LinearHead,RegMahaProxy-TC,pd_at_pfa_0.05,240,0.015033333333333334,0.016,0.006066458333333334,0.023500208333333335,0.6333333333333333,4.736508689463085e-06,1.894603475785234e-05
CE-LinearHead,RegMahaProxy-TC,pd_at_pfa_0.01,240,-0.0012500000000000011,0.0020000000000000018,-0.009658333333333333,0.007108541666666662,0.5125,0.4936453921461017,0.4936453921461017
CE-LinearHead,RegMahaProxy-TC,f1,240,0.007303459543127273,0.018815123664789213,-0.0023715204813526225,0.016530723666189823,0.6541666666666667,0.00018181027809153526,0.0003636205561830705
